# IAU No|IAU Code|Shower Name                |Sol begin|Sol max|Sol end|RA   |dRA |Dec  | dDec|Vg  |dVg  |Reference                                
       1|CAP     |alpha Capricornids         |108      |123.1  |140    |306.5|0.66|-9.2 | 0.28|23  | 0.00|Jenniskens et al., 2016, Icarus, 266, 331
       2|STA     |Southern Taurids           |173      |216    |230    |47.9 |0.99|12.8 | 0.26|26.6| 0.00|Jenniskens et al., 2016, Icarus, 266, 331
       4|GEM     |Geminids                   |240      |262    |273    |113.5|1.15|32.3 |-0.16|33.8| 0.00|Jenniskens et al., 2016, Icarus, 266, 331
       5|SDA     |Southern delta Aquariids   |114      |128    |145    |341.3|0.95|-15.7| 0.38|41.3| 0.00|Jenniskens et al., 2016, Icarus, 266, 331
       6|LYR     |April Lyrids               | 30      | 32    | 34    |272  |0.66|33.4 | 0.02|46.7| 0.00|Jenniskens et al., 2016, Icarus, 266, 331
       7|PER     |Perseids                   |123      |140    |147    |48.2 |1.4 |58.1 | 0.26|59.1| 0.00|Jenniskens et al., 2016, Icarus, 266, 331
       8|ORI     |Orionids                   |198      |209    |227    |95.9 |1.03|15.7 |-0.05|66.3| 0.00|Jenniskens et al., 2016, Icarus, 266, 331
       9|DRA     |October Draconids          |192.2    |195    |197.1  |262.9|0.34|55.7 |-0.05|20.7| 0.00|Jenniskens et al., 2016, Icarus, 266, 331
      10|QUA     |Quadrantids                |281      |283    |285    |230.2|0.56|49.5 |-0.25|40.7| 0.00|Jenniskens et al., 2016, Icarus, 266, 331
      11|EVI     |eta Virginids              |         |357    |       |184.8|0.92|3.9  |-0.4 |26.6| 0.00|Jenniskens et al., 2016, Icarus, 266, 331
      12|KCG     |kappa Cygnids              |130      |141    |152.2  |277.5|0.4 |52.8 | 0.05|20.9| 0.00|Jenniskens et al., 2016, Icarus, 266, 331
      13|LEO     |Leonids                    |230      |235    |244    |153.8|0.99|21.8 |-0.36|70.2| 0.00|Jenniskens et al., 2016, Icarus, 266, 331
      15|URS     |Ursids                     |269      |271    |272    |219.9|0.05|75.4 |-0.31|32.9| 0.00|Jenniskens et al., 2016, Icarus, 266, 331
      16|HYD     |sigma Hydrids              |251      |266    |270    |134.4|0.92|-0.1 |-0.28|58.9| 0.00|Jenniskens et al., 2016, Icarus, 266, 331
      17|NTA     |Northern Taurids           |217      |220    |241    |48.9 |1.03|20.7 | 0.26|28  | 0.00|Jenniskens et al., 2016, Icarus, 266, 331
      18|AND     |Andromedids                |216      |223    |255    |21.3 |0.23|27.1 | 0.72|17.2| 0.00|Jenniskens et al., 2016, Icarus, 266, 331
      19|MON     |December Monocerotids      |257      |261    |266    |102.9|0.97|7.8  |-0.09|41.4| 0.00|Jenniskens et al., 2016, Icarus, 266, 331
