# File containing measurements of meteor shower activity using the Utils.FluxFitActivityCurve
# 
# Shower | Year   | Comp. | Sol peak | Flux bg | Flux peak | ZHR bg | ZHR peak | Bp    | Bm
     CAP | annual |     1 |  128.032 |    0.33 |      1.44 |   0.67 |     2.87 | 0.060 | 0.106
     GEM | annual |     1 |  262.253 |    0.14 |     18.60 |   0.91 |   120.83 | 0.321 | 1.084
     GEM | annual |     2 |  261.650 |       0 |      4.23 |      0 |    27.48 | 2.282 | 1.880
     SDA | annual |     1 |  126.034 |    0.22 |      9.97 |   0.60 |    27.22 | 0.175 | 0.087
     LYR | annual |     1 |   32.366 |    0.39 |      4.80 |   1.57 |    19.14 | 0.746 | 0.623
     PER | annual |     1 | 136.952  |    0.00 |      4.18 |   0.00 |    20.96 | 0.037 | 0.036
     PER | annual |     2 | 140.626  |       0 |     23.88 |      0 |   119.61 | 0.292 | 0.401
     ORI | annual |     1 |  209.111 |    0.00 |     16.92 |   0.00 |    55.28 | 0.114 | 0.090
     QUA | annual |     1 |  283.141 |    0.87 |     26.32 |   3.47 |   105.09 | 1.606 | 2.197
     LEO | annual |     1 |  235.141 |    3.01 |     10.09 |   3.67 |    12.29 | 0.130 | 0.095
     URS | annual |     1 |  270.314 |    0.00 |      1.13 |   0.00 |    14.41 | 1.224 | 1.325
     HYD | annual |     1 |  254.928 |    0.86 |      5.94 |   0.94 |     6.52 | 0.072 | 0.045
     MON | annual |     1 |  257.933 |    0.00 |      2.18 |   0.00 |     2.39 | 0.068 | 0.067
     LMI | annual |     1 |  209.868 |    0.00 |      0.85 |   0.00 |     4.24 | 0.048 | 0.044
     ETA | annual |     1 |   43.261 |    1.52 |     14.99 |   6.08 |    59.86 | 0.268 | 0.091
     ETA | annual |     2 |   47.025 |       0 |     15.04 |      0 |    60.05 | 0.189 | 0.158
     AUR | annual |     1 |  157.587 |    1.71 |      1.69 |   2.97 |     2.94 | 0.363 | 0.147
     SPE | annual |     1 |  166.894 |    0.35 |      0.57 |   1.78 |     2.85 | 0.202 | 0.533
