# Meteor showers included in a NASA meteoroid Environment Office meteor shower forecast for near-Earth space||||||||||||||||||||
#    |    |                                 |  [  | -   | -   |Radiant| - | -    | -   | -  |  ]  |  [   |-      |Activity|-| ]   |    |     |      |
# IAU|IAU |Shower                           |Sol  |Sol  |Sol  |RA   |dRA  |Dec   |dDec |Vg  |dVg  |Year  |Sol    |ZHR |Bp   |Bm   |r   |Ref. |Assoc.|Bin
# No |Code|Name                             |beg  |max  |end  |     |     |      |     |    |     |      |peak   |peak|rise |down |    |Ht.  |radius|params
    1|CAP |alpha Capricornids               |110  |127.1|135  |305.7| 0.70| -9.3 | 0.24|22.2|-0.13|annual|125.48 |  4 |0.059|0.091|2.5 | 90.0|   3.6|{'all_years': {'min_tap':  300, 'min_meteors': 200, 'min_bin_duration':  12, 'max_bin_duration': 24}, 'yearly': {'min_tap': 100, 'min_meteors': 100, 'min_bin_duration':  12, 'max_bin_duration': 24}}
    2|STA |Southern Taurids                 |190  |216  |230  | 46.6| 0.77| 12.9 | 0.25|27.5|-0.06|annual|223    |  5 |0.026|0    |2.3 | 90.7|   3.0|{'all_years': {'min_tap':  400, 'min_meteors': 200, 'min_bin_duration':  18, 'max_bin_duration': 48}, 'yearly': {'min_tap': 200, 'min_meteors': 100, 'min_bin_duration':  18, 'max_bin_duration': 48}}
    4|GEM |Geminids                         |256  |262  |266  |113.4| 1.06| 32.3 |-0.21|34.0| 0.11|annual|262.00 |118 |0.15 |0.462|1.9 | 90.3|   5.0|{'all_years': {'min_tap':  300, 'min_meteors': 100, 'min_bin_duration':   6, 'max_bin_duration': 24}, 'yearly': {'min_tap': 100, 'min_meteors':  50, 'min_bin_duration':   6, 'max_bin_duration': 24}}
    5|SDA |Southern delta Aquariids         |114  |125.5|145  |339.0| 0.76|-16.8 | 0.20|40.4|-0.20|annual|124.93 | 20 |0.109|0.071|2.3 | 92.2|   3.6|{'all_years': {'min_tap':  150, 'min_meteors': 100, 'min_bin_duration':  12, 'max_bin_duration': 24}, 'yearly': {'min_tap': 75,  'min_meteors':  50, 'min_bin_duration':  12, 'max_bin_duration': 24}}
    6|LYR |April Lyrids                     | 30  | 32.4| 34  |272.3| 0.95| 33.3 |-0.32|46.6| 0.29|annual| 33.15 | 18 |1.229|4.62 |2.1 | 98.7|   3.3|{'all_years': {'min_tap':  200, 'min_meteors': 100, 'min_bin_duration':   6, 'max_bin_duration': 24}, 'yearly': {'min_tap': 100, 'min_meteors':  50, 'min_bin_duration':   6, 'max_bin_duration': 24}}
    7|PER |Perseids                         |123  |140.4|147  | 49.2| 1.46| 58.1 | 0.23|59.1| 0.03|annual|140.05 | 80 |0.35 |0    |2.0 |102.4|   4.5|{'all_years': {'min_tap':  200, 'min_meteors': 200, 'min_bin_duration':   6, 'max_bin_duration': 24}, 'yearly': {'min_tap':  50, 'min_meteors':  50, 'min_bin_duration':   2, 'max_bin_duration': 24}}
    8|ORI |Orionids                         |198  |209  |225  | 96.1| 0.79| 15.6 | 0.04|65.5|-0.07|annual|209.18 | 23 |0.12 |0.119|2.2 |105.1|   3.3|{'all_years': {'min_tap':  200, 'min_meteors': 100, 'min_bin_duration':  12, 'max_bin_duration': 24}, 'yearly': {'min_tap':  50, 'min_meteors':  50, 'min_bin_duration':  12, 'max_bin_duration': 24}}
    9|DRA |October Draconids                |192  |195.5|197  |264.6| 2.61| 56.5 |-0.29|20.7| 0.00|annual|195.438|  2 |7.225|0    |2.5 | 89.1|   3.0|{'all_years': {'min_tap':  200, 'min_meteors':  50, 'min_bin_duration':   2, 'max_bin_duration': 12}, 'yearly': {'min_tap':  50, 'min_meteors':  20, 'min_bin_duration':   1, 'max_bin_duration': 12}}
   10|QUA |Quadrantids                      |281  |283.0|285  |229.4| 0.48| 50.0 |-0.40|40.7| 0.17|annual|283.58 |120 |0.865|0.827|2.1 | 93.8|   5.7|{'all_years': {'min_tap':   50, 'min_meteors': 100, 'min_bin_duration': 0.5, 'max_bin_duration': 12}, 'yearly': {'min_tap':  30, 'min_meteors':  50, 'min_bin_duration': 0.5, 'max_bin_duration': 12}}
   12|KCG |kappa Cygnids                    |130  |145  |152.2|288.2| 0.55| 53.7 | 0.82|23.6| 0.22|annual|145    |  3 |0.069|0    |2.1 | 88.9|   7.5|{'all_years': {'min_tap': 1000, 'min_meteors': 200, 'min_bin_duration':  12, 'max_bin_duration': 48}, 'yearly': {'min_tap': 300, 'min_meteors':  50, 'min_bin_duration':  12, 'max_bin_duration': 48}}
